ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.133.39.1","elite","N/A","TR","Sabire-irmak-mala","61","Sabire irmak mala","1080","socks4","3987","1","2025-09-17T07:21:57.675Z","93","3433","3688"
"47.252.1.180","elite","AS45102","US","Alibaba Cloud LLC","83","Alibaba Cloud - US","7302","socks4","2713","1","2025-09-17T07:21:57.585Z","100","2063","2067"
"170.81.108.153","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","210","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","2178","1","2025-09-17T07:21:57.581Z","99","3849","3870"
"171.232.182.231","elite","AS7552","VN","Viettel Corporation","187","VIETEL","8080","socks4","4970","1","2025-09-17T07:21:57.668Z","87","534","614"
"104.17.189.78","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","2816","9284","2025-09-17T07:21:57.693Z","100","16","16"
"101.108.193.77","elite","AS23969","TH","TOT Public Company Limited","185","TOT Public Company Limited","4145","socks4","3102","1","2025-09-17T07:21:57.681Z","60","6329","10488"
"172.64.149.8","elite","AS13335","CA","Cloudflare, Inc.","71","Cloudflare, Inc.","80","http","3301","9212","2025-09-17T07:21:57.781Z","100","20","20"
"172.64.158.59","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","4012","9124","2025-09-17T07:21:57.790Z","100","18","18"
"182.253.158.181","elite","AS17451","ID","BIZNET","180","N/A","5678","socks4","4694","1","2025-09-17T07:21:57.679Z","93","9824","10508"
"181.209.96.226","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A.","247","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","4153","socks4","1408","1","2025-09-17T07:21:57.583Z","100","3847","3853"
"185.32.4.110","elite","AS60645","PL","AS Consulting Sp. z o. o.","28","Core Network Fiber","4153","socks4","2394","1","2025-09-17T07:21:57.665Z","89","3483","3909"
"34.160.0.137","elite","AS396982","US","Google LLC","6","Google Cloud","80","socks4","1728","1","2025-09-17T07:21:57.677Z","100","1042","1042"
"43.128.3.115","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","303","Tencent Cloud Computing","13220","socks4","4270","1","2025-09-17T07:21:57.669Z","71","7508","10618"
"182.23.108.164","elite","AS4800","ID","PT Aplikanusa Lintasarta","185","N/A","4153","socks4","2914","1","2025-09-17T07:21:57.664Z","98","3724","3797"
"134.195.91.76","elite","N/A","RW","HostHatch","147","N/A","30049","socks4","2677","1","2025-09-17T07:21:57.677Z","93","3481","3735"
"104.26.11.239","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","1983","9122","2025-09-17T07:21:57.866Z","100","18","18"
